"","year","net_income","total_assets"
"43359",2013,350,123829
"43360",2013,331178,770133
"43361",2013,942,46376
"43362",2013,-183,129803
"43363",2013,10090,183378
"43364",2013,88,27979
"43365",2013,9,20435
"43366",2013,223,6775
"43367",2013,500,24613
"43368",2013,6327,323268
"43369",2013,211,8949
"43370",2013,20572,63228
"43371",2013,2072,30176
"43372",2013,5524,95216
"43373",2013,-58028,213245
"43374",2013,18027,208026
"43375",2013,7433,83050
"43376",2013,78408,621325
"43377",2013,45826,283696
"43378",2013,15956,213295
"43379",2013,1213,30467
"43380",2013,908,138744
"43381",2013,592,26581
"43382",2013,1380,53497
"43383",2013,1125,98784
"43384",2013,992,245571
"43385",2013,1362,24303
"43386",2013,-3262,61699
"43387",2013,38679,135470
"43388",2013,-2408,228064
"43389",2013,990,18273
"43390",2013,562,246994
"43391",2013,3573,23339
"43392",2013,-216,122158
"43393",2013,3143,2932809
"43394",2013,24871,728134
"43395",2013,1404,36365
"43396",2013,37625,719808
"43397",2013,3979,88002
"43398",2013,502,42324
"43399",2013,136,69382
"43400",2013,-1809,37011
"43401",2013,904,114366
"43402",2013,555,108493
"43403",2013,10963,143697
"43404",2013,4230,68586
"43405",2013,-21080,653514
"43406",2013,1686,10377
"43407",2013,1895,622928
"43408",2013,1993,23987
"43409",2013,-5240,157588
"43410",2013,10552,18546
"43411",2013,7139,197818
"43412",2013,8538,150625
"43413",2013,-9635,253884
"43414",2013,261,36139
"43415",2013,924,39370
"43416",2013,14533,127112
"43417",2013,1312,573126
"43418",2013,10767,80629
"43419",2013,437,20503
"43420",2013,1867,787687
"43421",2013,-13388,207304
"43422",2013,4513,48694
"43423",2013,6167,20417
"43424",2013,784,33091
"43425",2013,1265,21495
"43426",2013,62,93778
"43427",2013,22712,362490
"43428",2013,5130,57049
"43429",2013,110950,150476
"43430",2013,327,38409
"43431",2013,15681,85752
"43432",2013,-2529,34161
"43433",2013,1050,84769
"43434",2013,40165,4724358
"43435",2013,6842,64760
"43436",2013,580,211766
"43437",2013,197857,2803668
"43438",2013,3193,337856
"43439",2013,-820,143316
"43440",2013,3239,51747
"43441",2013,1458,21406
"43442",2013,957,53281
"43443",2013,141,13558
"43444",2013,27,13179
"43445",2013,5720,130085
"43446",2013,8407,58643
"43447",2013,17241,153900
"43448",2013,331899,714124
"43449",2013,1898,15870
"43450",2013,22,29562
"43451",2013,21,34675
"43452",2013,27777,190196
"43453",2013,533,54497
"43454",2013,1064,48143
"43455",2013,684,20823
"43456",2013,415,18130
"43457",2013,12206,212285
"43458",2013,29915,326285
"43459",2013,3880,68413
"43460",2013,1852,24517
"43461",2013,-6240,90603
"43462",2013,2789,3274
"43463",2013,181,31797
"43464",2013,19254,365684
"43465",2013,20665,91631
"43466",2013,98,8574
"43467",2013,462,52366
"43468",2013,32602,275133
"43469",2013,51,12938
"43470",2013,1395,29056
"43471",2013,518,14189
"43472",2013,14372,45610
"43473",2013,6093,50170
"43474",2013,-2912,68981
"43475",2013,2001,352125
"43476",2013,-321,7856
"43477",2013,-10710,457329
"43478",2013,763,18278
"43479",2013,415,19627
"43480",2013,8215,56789
"43481",2013,982,80224
"43482",2013,374,11465
"43483",2013,480,5605
"43484",2013,369,21922
"43485",2013,25,30315
"43486",2013,4125,36022
"43487",2013,258,140852
"43488",2013,143,3911
"43489",2013,2314,50503
"43490",2013,448,4890
"43491",2013,1029,30021
"43492",2013,55,19917
"43493",2013,434,36243
"43494",2013,3288,2233
"43495",2013,3194,81135
"43496",2013,115,12546
"43497",2013,3382,53058
"43498",2013,2571,28796
"43499",2013,552,5476
"43500",2013,82,2169
"43501",2013,653,35882
"43502",2013,412,11896
"43503",2013,415,14582
"43504",2013,165,5045
"43505",2013,60169,1068255
"43506",2013,-1041,108526
"43507",2013,125,18528
"43508",2013,13994,141026
"43509",2013,163,6954
"43510",2013,108,23726
"43511",2013,985,30705
"43512",2013,484,5355
"43513",2013,465,77045
"43514",2013,4158,21785
"43515",2013,-215,11542
"43516",2013,1470,37487
"43517",2013,-135,15024
"43518",2013,-49,14687
"43519",2013,706,10120
"43520",2013,9170,232051
"43521",2013,215,26851
"43522",2013,269325,1457327
"43523",2013,921,10895
"43524",2013,967,35792
"43525",2013,5594,43696
"43526",2013,321,3599
"43527",2013,-1071,29402
"43528",2013,-1672,100902
"43529",2013,46,92790
"43530",2013,854,459424
"43531",2013,40744,288292
"43532",2013,503,70039
"43533",2013,5632,16482
"43534",2013,28444,421545
"43535",2013,-1048,17102
"43536",2013,-2928,43960
"43537",2013,10173,109425
"43538",2013,9408,156800
"43539",2013,508,4796
"43540",2013,1745,18900
"43541",2013,337,21322
"43542",2013,1057,53874
"43543",2013,-5146,125307
"43544",2013,545,147968
"43545",2013,1242,37552
"43546",2013,38873,441921
"43547",2013,-3593,81463
"43548",2013,10682,136300
"43549",2013,15412,138286
"43550",2013,-720,260587
"43551",2013,2899,59540
"43552",2013,86991,6126075
"43553",2013,-1804,146411
"43554",2013,229,18035
"43555",2013,1938,51823
"43556",2013,18522,171548
"43557",2013,32,11915
"43558",2013,155,8806
"43559",2013,3951,5053
"43560",2013,-4404,75299
"43561",2013,108,14044
"43562",2013,5324,80774
"43563",2013,1088,49742
"43564",2013,86900,524265
"43565",2013,255,36726
"43566",2013,16,7685
"43567",2013,28570,423539
"43568",2013,7034,205440
"43569",2013,3508,52730
"43570",2013,16319,173664
"43571",2013,2023,79563
"43572",2013,13830,2055331
"43573",2013,40864,157537
"43574",2013,-421,70011
"43575",2013,294,30852
"43576",2013,2035,94077
"43577",2013,4153,10306
"43578",2013,54238,248513
"43579",2013,-753,23251
"43580",2013,457450,2286856
"43581",2013,41,565423
"43582",2013,1532,107498
"43583",2013,410,11582
"43584",2013,304,14015
"43585",2013,-856,44512
"43586",2013,1104,60187
"43587",2013,410,4511
"43588",2013,1535,67408
"43589",2013,1723,35294
"43590",2013,-106,21885
"43591",2013,265,5075
"43592",2013,938,3621
"43593",2013,401,18365
"43594",2013,417,9854
"43595",2013,397,7325
"43596",2013,365,30215
"43597",2013,1466,31785
"43598",2013,296,5992
"43599",2013,296,31025
"43600",2013,720,16111
"43601",2013,3182,21102
"43602",2013,304,27518
"43603",2013,663,56680
"43604",2013,2058,27812
"43605",2013,675,40129
"43606",2013,752,9905
"43607",2013,297,16338
"43608",2013,1027,11762
"43609",2013,923,38404
"43610",2013,638,4538
"43611",2013,243,6849
"43612",2013,317,11096
"43613",2013,4516,118236
"43614",2013,242,412885
"43615",2013,-3895,203654
"43616",2013,1606,182756
"43617",2013,1253,19854
"43618",2013,735,9545
"43619",2013,6679,40915
"43620",2013,-152,17138
"43621",2013,112,13025
"43622",2013,269,5227
"43623",2013,712,15950
"43624",2013,12491,136077
"43625",2013,2696,25601
"43626",2013,441,5459
"43627",2013,131,19830
"43628",2013,1597,15256
"43629",2013,3425,9628
"43630",2013,811,50025
"43631",2013,42,23302
"43632",2013,-2504,38601
"43633",2013,251,6970
"43634",2013,1032,6537
"43635",2013,24879,318136
"43636",2013,138,18695
"43637",2013,1050,43120
"43638",2013,672,57690
"43639",2013,21581,686747
"43640",2013,80,20750
"43641",2013,1657,30159
"43642",2013,-26,55119
"43643",2013,216,64942
"43644",2013,54797,384957
"43645",2013,1600,19914
"43646",2013,32272,104581
"43647",2013,-14,105121
"43648",2013,11308,198192
"43649",2013,10785,227142
"43650",2013,137,23221
"43651",2013,20399,270881
"43652",2013,139,44412
"43653",2013,1794,56760
"43654",2013,81,18988
"43655",2013,8291,90340
"43656",2013,2893,65111
"43657",2013,9,53046
"43658",2013,3027,551537
"43659",2013,7827,83017
"43660",2013,1039,20993
"43661",2013,21983,275071
"43662",2013,-59257,446016
"43663",2013,-14392,930006
"43664",2013,96450,811895
"43665",2013,142,25165
"43666",2013,-5934,21627
"43667",2013,24,49434
"43668",2013,201679,1232534
"43669",2013,73712,632411
"43670",2013,8257,141026
"43671",2013,-11948,47249
"43672",2013,291,23207
"43673",2013,-2182,161806
"43674",2013,732,277211
"43675",2013,260,10646
"43676",2013,-1879,4043
"43677",2013,30575,588693
"43678",2013,5260,139326
"43679",2013,1079,176259
"43680",2013,43946,3873542
"43681",2013,1467,49008
"43682",2013,34913,401190
"43683",2013,89176,1043975
"43684",2013,50262,217227
"43685",2013,6400,86447
"43686",2013,-6913,110843
"43687",2013,80,18654
"43688",2013,216578,1441174
"43689",2013,1027408,12649151
"43690",2013,661,319916
"43691",2013,12183,141315
"43692",2013,2523,59372
"43693",2013,21146,383827
"43694",2013,112,20558
"43695",2013,95,25668
"43696",2013,2195,24037
"43697",2013,23776,242717
"43698",2013,5075,126500
"43699",2013,3372,154309
"43700",2013,824,56538
"43701",2013,1021,10950
"43702",2013,306,76155
"43703",2013,809,63358
"43704",2013,2044,637985
"43705",2013,28360,1428509
"43706",2013,469,19159
"43707",2013,-1264,247329
"43708",2013,-2045,17580
"43709",2013,1601,41926
"43710",2013,735,56718
"43711",2013,37902,771567
"43712",2013,59764,5685298
"43713",2013,196965,670389
"43714",2013,43672,101003
"43715",2013,179942,13046185
"43716",2013,1376,119489
"43717",2013,7634,90853
"43718",2013,3649,439504
"43719",2013,1126,53931
"43720",2013,14,41709
"43721",2013,35722,353467
"43722",2013,2300,117323
"43723",2013,45918,1629614
"43724",2013,4628,344176
"43725",2013,9805,174643
"43726",2013,294,23969
"43727",2013,-444,239725
"43728",2013,1201413,6311490
"43729",2013,3106,25043
"43730",2013,331707,3291730
"43731",2013,3079,43297
"43732",2013,347,18955
"43733",2013,-3363,49925
"43734",2013,5817,176777
"43735",2013,-8548,153033
"43736",2013,47337,894158
"43737",2013,146,40329
"43738",2013,-8729,93270
"43739",2013,171463,794867
"43740",2013,-204,72746
"43741",2013,638,13428
"43742",2013,-15946,140844
"43743",2013,1235,45074
"43744",2013,-817,48930
"43745",2013,89274,2089159
"43746",2013,1000,401617
"43747",2013,477,176723
"43748",2013,-12,65516
"43749",2013,1326,61790
"43750",2013,2304,58391
"43751",2013,10140,236383
"43752",2013,-776,128821
"43753",2013,2740,148036
"43754",2013,4431,100484
"43755",2013,-1111,87569
"43756",2013,254,8279
"43757",2013,-241,51712
"43758",2013,2007,91777
"43759",2013,5235,222869
"43760",2013,-71632,1359199
"43761",2013,221139,1749307
"43762",2013,-2326,70966
"43763",2013,2757,50312
"43764",2013,2357,120102
"43765",2013,17729,1036346
"43766",2013,1199,81706
"43767",2013,257,228211
"43768",2013,2238,59336
"43769",2013,698,70325
"43770",2013,26700,330320
"43771",2013,3916,99379
"43772",2013,3496,55463
"43773",2013,434,303577
"43774",2013,134020,653257
"43775",2013,-3657,64578
"43776",2013,45953,505610
"43777",2013,-35,334217
"43778",2013,-4173,806918
"43779",2013,60,70171
"43780",2013,1454,66436
"43781",2013,1078,45101
"43782",2013,-1487,41574
"43783",2013,66,18572
"43784",2013,50664,140118
"43785",2013,4338,329524
"43786",2013,9043,126268
"43787",2013,154728,1582337
"43788",2013,-7791,24443
"43789",2013,3166,68790
"43790",2013,4124,412904
"43791",2013,7907,540717
"43792",2013,-9589,28045
"43793",2013,539,165007
"43794",2013,2321,169131
"43795",2013,32244,681924
"43796",2013,4066,97433
"43797",2013,478,24082
"43798",2013,1744,181655
"43799",2013,-13306,355313
"43800",2013,27140,249846
"43801",2013,-41220,1277262
"43802",2013,-1621,23690
"43803",2013,-1660,89785
"43804",2013,-220,269096
"43805",2013,4211,89613
"43806",2013,20671,511216
"43807",2013,-940,159731
"43808",2013,-18352,467368
"43809",2013,301,31295
"43810",2013,3694,146091
"43811",2013,-5583,392438
"43812",2013,33,19882
"43813",2013,95,30403
"43814",2013,105,63424
"43815",2013,338,144187
"43816",2013,2340,163385
"43817",2013,-40,11724
"43818",2013,4982,161694
"43819",2013,-15129,262397
"43820",2013,1488,94454
"43821",2013,745,106483
"43822",2013,431,26940
"43823",2013,-1787,316803
"43824",2013,27171,319267
"43825",2013,89727,1729121
"43826",2013,-2629,49911
"43827",2013,-238,9235
"43828",2013,24112,403869
"43829",2013,1418,49701
"43830",2013,1887,49908
"43831",2013,374,81457
"43832",2013,2295633,9149326
"43833",2013,118,45870
"43834",2013,33538,628371
"43835",2013,459,16456
"43836",2013,2117,114324
"43837",2013,1529,104586
"43838",2013,-287,92358
"43839",2013,1376,48222
"43840",2013,-693,46060
"43841",2013,149,49394
"43842",2013,17267,74683
"43843",2013,91000,4541300
"43844",2013,2918,150995
"43845",2013,774,115690
"43846",2013,174,88202
"43847",2013,126,73262
"43848",2013,70802,1857390
"43849",2013,60082,625585
"43850",2013,15291,927098
"43851",2013,-8077,126283
"43852",2013,422,31753
"43853",2013,24306,577400
"43854",2013,289729,3727706
"43855",2013,35197,1807461
"43856",2013,89712,546439
"43857",2013,1712,71641
"43858",2013,-9654,97024
"43859",2013,8888,259662
"43860",2013,-9173,887975
"43861",2013,33133,308546
"43862",2013,-1362,31354
"43863",2013,18427,367055
"43864",2013,-7720,19271
"43865",2013,23199,435323
"43866",2013,94585,2205755
"43867",2013,7455,44922
"43868",2013,-107,269618
"43869",2013,-926,121591
"43870",2013,9873,168516
"43871",2013,30649,589134
"43872",2013,26176,949068
"43873",2013,31930,225910
"43874",2013,7079,185450
"43875",2013,410,18419
"43876",2013,-54749,3814154
"43877",2013,127887,774070
"43878",2013,1583,70207
"43879",2013,6573,254142
"43880",2013,-923,235989
"43881",2013,3013,47987
"43882",2013,1052,86411
"43883",2013,2879,166921
"43884",2013,778226,9200511
"43885",2013,9816,55651
"43886",2013,88,76884
"43887",2013,-2717,77097
"43888",2013,1608,76584
"43889",2013,40822,514135
"43890",2013,3984,115535
"43891",2013,172,18196
"43892",2013,225,73179
"43893",2013,7725,132625
"43894",2013,3844,35255
"43895",2013,2205,63361
"43896",2013,5906,111445
"43897",2013,-63620,575526
"43898",2013,104573,601982
"43899",2013,-4441,601121
"43900",2013,22496,1024383
"43901",2013,105,62290
"43902",2013,-2179,200847
"43903",2013,19056,234077
"43904",2013,466,52787
"43905",2013,-10673,27411
"43906",2013,-519,58281
"43907",2013,192,16219
"43908",2013,10713,124859
"43909",2013,4665,45729
"43910",2013,3951,502715
"43911",2013,6468,84266
"43912",2013,7758,636501
"43913",2013,2018,88262
"43914",2013,126123,1324289
"43915",2013,3915,96318
"43916",2013,72947,464789
"43917",2013,30671,403278
"43918",2013,1008,74968
"43919",2013,-15332,505523
"43920",2013,-4879,59205
"43921",2013,-5,65956
"43922",2013,64825,1152743
"43923",2013,13848,203170
"43924",2013,949,63322
"43925",2013,18718,220010
"43926",2013,515,25277
"43927",2013,-7518,15278
"43928",2013,4147,73098
"43929",2013,2103,64079
"43930",2013,-5969,117864
"43931",2013,231176,1081015
"43932",2013,-54020,1025081
"43933",2013,3522,19826
"43934",2013,134520,704244
"43935",2013,9988,108307
"43936",2013,1040,39380
"43937",2013,176027,1227780
"43938",2013,337,61600
"43939",2013,-1252,19611
"43940",2013,151072,461633
"43941",2013,190,12210
"43942",2013,270,149667
"43943",2013,859,61746
"43944",2013,5898,130083
"43945",2013,1427,123271
"43946",2013,15,15429
"43947",2013,473,40258
"43948",2013,1375,25310
"43949",2013,4254,60124
"43950",2013,1871,61940
"43951",2013,328,46969
"43952",2013,7430,424845
"43953",2013,-3536,134825
"43954",2013,5835,125789
"43955",2013,232785,1894436
"43956",2013,1750,35808
"43957",2013,7,69539
"43958",2013,45,27009
"43959",2013,2228,85447
"43960",2013,113,16641
"43961",2013,120,18632
"43962",2013,2140,235969
"43963",2013,1695,16017
"43964",2013,759,27951
"43965",2013,606,22545
"43966",2013,1539,83014
"43967",2013,118013,3456036
"43968",2013,-690,31601
"43969",2013,49,17913
"43970",2013,81,11756
"43971",2013,291,11493
"43972",2013,114065,1011622
"43973",2013,1489,28760
"43974",2013,655,17278
"43975",2013,398,17720
"43976",2013,997,108419
"43977",2013,-42,21013
"43978",2013,23364,173178
"43979",2013,-54479,932942
"43980",2013,3003,40583
"43981",2013,705,217828
"43982",2013,3963,55231
"43983",2013,46514,691391
"43984",2013,502838,3172211
"43985",2013,1756,35189
"43986",2013,35,315681
"43987",2013,1675,46877
"43988",2013,2419,56950
"43989",2013,23735,454643
"43990",2013,183393,598785
"43991",2013,230262,2768520
"43992",2013,55951,275995
"43993",2013,38,23177
"43994",2013,130,58198
"43995",2013,2142,52091
"43996",2013,218,27436
"43997",2013,-6703,118686
"43998",2013,4429,230053
"43999",2013,5577,174980
"44000",2013,260000,13204009
"44001",2013,3178,61224
"44002",2013,1500,96000
"44003",2013,40761,1352450
"44004",2013,250,10743
"44005",2013,-3481,79520
"44006",2013,11507,672503
"44007",2013,-14064,46689
"44008",2013,138668,784701
"44009",2013,-252,38424
"44010",2013,24163,192065
"44011",2013,-19952,124238
"44012",2013,2758,123086
"44013",2013,1255,74822
"44014",2013,1867,31332
"44015",2013,-9023,98132
"44016",2013,166,122811
"44017",2013,845,153953
"44018",2013,9541,59148
"44019",2013,1991,87952
"44020",2013,1048,178066
"44021",2013,1680,23527
"44022",2013,387,158888
"44023",2013,-12015,285812
"44024",2013,5432,33909
"44025",2013,-555,37753
"44026",2013,448,48055
"44027",2013,11519,253983
"44028",2013,9604,221894
"44029",2013,-2410,12726
"44030",2013,340,22919
"44031",2013,70462,3866972
"44032",2013,3019,74149
"44033",2013,2275,102504
"44034",2013,285,167635
"44035",2013,3690,680008
"44036",2013,19604,208274
"44037",2013,3451,99170
"44038",2013,192325,602583
"44039",2013,445,18887
"44040",2013,6293,204433
"44041",2013,-1646,60851
"44042",2013,140,43381
"44043",2013,235,19408
"44044",2013,174,31517
"44045",2013,-3616,44480
"44046",2013,-1712,50930
"44047",2013,-1262,19842
"44048",2013,5506,230598
"44049",2013,-5735,73029
"44050",2013,469,69811
"44051",2013,397,17888
"44052",2013,35991,535131
"44053",2013,-2668,73297
"44054",2013,1038,228844
"44055",2013,33658,1138071
"44056",2013,1684,28858
"44057",2013,47532,384023
"44058",2013,1534,30406
"44059",2013,-597,24044
"44060",2013,1813,84755
"44061",2013,58980,1232927
"44062",2013,19733,189381
"44063",2013,10119,82937
"44064",2013,10372,483299
"44065",2013,-4203,57394
"44066",2013,227193,1640996
"44067",2013,8048,52910
"44068",2013,-475,35105
"44069",2013,-1773,194665
"44070",2013,1601,149751
"44071",2013,5141,47220
"44072",2013,4679,68474
"44073",2013,154,83073
"44074",2013,1023,109511
"44075",2013,21210,616812
"44076",2013,192,14925
"44077",2013,-12621,166942
"44078",2013,48,15546
"44079",2013,1174,24274
"44080",2013,-214,111307
"44081",2013,23816,244497
"44082",2013,1608,83420
"44083",2013,232,28188
"44084",2013,18639,272910
"44085",2013,1039,32316
"44086",2013,233,56492
"44087",2013,43,30922
"44088",2013,1197,49927
"44089",2013,344,50191
"44090",2013,351,75415
"44091",2013,-714,40838
"44092",2013,411,26701
"44093",2013,-6032,53288
"44094",2013,22,73082
"44095",2013,10406,1141814
"44096",2013,-822,20190
"44097",2013,8403,57829
"44098",2013,1752,36012
"44099",2013,-2155,111518
"44100",2013,1004,5130
"44101",2013,25039,454400
"44102",2013,1330,405378
"44103",2013,-11322,137993
"44104",2013,-865,46355
"44105",2013,-152,155786
"44106",2013,398,131455
"44107",2013,2009,95506
"44108",2013,13594,876641
"44109",2013,-3608,92316
"44110",2013,3785,177685
"44111",2013,3246,145454
"44112",2013,12270,128609
"44113",2013,367,21448
"44114",2013,1396,20877
"44115",2013,4910,71846
"44116",2013,-1546,19210
"44117",2013,676307,3197385
"44118",2013,1933,122169
"44119",2013,69985,495604
"44120",2013,-8008,213195
"44121",2013,2931,247661
"44122",2013,101312,339725
"44123",2013,-80,104387
"44124",2013,7955,128198
"44125",2013,166,75442
"44126",2013,885,237654
"44127",2013,49032,795626
"44128",2013,79399,1966196
"44129",2013,1977,53896
"44130",2013,-9616,96550
"44131",2013,-89403,227609
"44132",2013,-1535,47596
"44133",2013,50,38474
"44134",2013,-1063,211545
"44135",2013,-2928,46630
"44136",2013,-9997,102167
"44137",2013,50,11219
"44138",2013,63679,464520
"44139",2013,-25438,47676
"44140",2013,2154,151649
"44141",2013,23528,189340
"44142",2013,-8177,206983
"44143",2013,8756,125323
"44144",2013,24857,532222
"44145",2013,-1937,278538
"44146",2013,189,20072
"44147",2013,-4,40418
"44148",2013,20,15562
"44149",2013,1713,66880
"44150",2013,3846,89477
"44151",2013,20,89469
"44152",2013,-16062,172897
"44153",2013,271,41564
"44154",2013,4663,57540
"44155",2013,-139,62145
"44156",2013,11289,247610
"44157",2013,1996,201636
"44158",2013,23623,346159
"44159",2013,648,26915
"44160",2013,-4238,23331
"44161",2013,23089,1887306
"44162",2013,91208,625383
"44163",2013,74,37400
"44164",2013,3378,50186
"44165",2013,-427,102819
"44166",2013,-120,20825
"44167",2013,-16434,10932
"44168",2013,426,31885
"44169",2013,-1083,42889
"44170",2013,6,18441
"44171",2013,2422,287856
"44172",2013,-4618,125990
"44173",2013,1390,231075
"44174",2013,391,40750
"44175",2013,13218,163596
"44176",2013,5175,209021
"44177",2013,579,30393
"44178",2013,-14112,172640
"44179",2013,-512,44640
"44180",2013,175,69544
"44181",2013,1642,126599
"44182",2013,1263,114492
"44183",2013,378,49577
"44184",2013,801,49234
"44185",2013,10127,139101
"44186",2013,23958,452527
"44187",2013,1851,30482
"44188",2013,31302,1032303
"44189",2013,674,85712
"44190",2013,16,121087
"44191",2013,-23463,592343
"44192",2013,-418,37740
"44193",2013,138,24291
"44194",2013,6066,114677
"44195",2013,1367,166257
"44196",2013,1896,46973
"44197",2013,3087,20337
"44198",2013,1457,39267
"44199",2013,466,20825
"44200",2013,-7193,696964
"44201",2013,11220,194609
"44202",2013,-6055,43456
"44203",2013,198,28028
"44204",2013,705,31702
"44205",2013,751,60230
"44206",2013,1620,50002
"44207",2013,5544,170237
"44208",2013,-278,13976
"44209",2013,-22391,452690
"44210",2013,1919,195284
"44211",2013,142,21266
"44212",2013,196,107491
"44213",2013,12088,184008
"44214",2013,1757,77411
"44215",2013,3033,42923
"44216",2013,47079,405618
"44217",2013,80,22570
"44218",2013,531,54511
"44219",2013,3576,331801
"44220",2013,-6079,67424
"44221",2013,12693,71660
"44222",2013,869,28412
"44223",2013,280,29408
"44224",2013,10796,173943
"44225",2013,-1924,89039
"44226",2013,200478,1942832
"44227",2013,56745,380410
"44228",2013,1741,19845
"44229",2013,-2827,287770
"44230",2013,41963,616721
"44231",2013,80197,657329
"44232",2013,-6130,75241
"44233",2013,296616,2068938
"44234",2013,87,47284
"44235",2013,20645,223636
"44236",2013,8092,95798
"44237",2013,34222,143443
"44238",2013,918,57324
"44239",2013,4170,310789
"44240",2013,-4036,74210
"44241",2013,54376,990640
"44242",2013,406711,1948336
"44243",2013,1405,131665
"44244",2013,744,54154
"44245",2013,254198,1175712
"44246",2013,2685,45591
"44247",2013,-14785,356191
"44248",2013,198252,2156007
"44249",2013,8272,26879
"44250",2013,-296,39954
"44251",2013,45,79708
"44252",2013,-372,31824
"44253",2013,23035,56762
"44254",2013,3344,84404
"44255",2013,506,31893
"44256",2013,1121842,3428322
"44257",2013,242,145046
"44258",2013,-12234,155389
"44259",2013,-133226,241985
"44260",2013,860,69280
"44261",2013,8346,1239032
"44262",2013,-59679,34498
"44263",2013,44949,348904
"44264",2013,250,114933
"44265",2013,-169,32065
"44266",2013,46,55289
"44267",2013,10093,183140
"44268",2013,1042,46241
"44269",2013,110,24226
"44270",2013,573,33930
"44271",2013,22376,123265
"44272",2013,-6741,64108
"44273",2013,555959,1848440
"44274",2013,37126,947232
"44275",2013,77,49259
"44276",2013,-782,235701
"44277",2013,6354,211669
"44278",2013,694,1087333
"44279",2013,561,48146
"44280",2013,-1621,65387
"44281",2013,653,110432
"44282",2013,-147,84377
"44283",2013,369,50641
"44284",2013,39043,342701
"44285",2013,107161,1538030
"44286",2013,10145,264795
"44287",2013,1100,41110
"44288",2013,15930,245697
"44289",2013,109,51559
"44290",2013,97506,1026205
"44291",2013,3554,128193
"44292",2013,657,29401
"44293",2013,27221,228494
"44294",2013,423,32431
"44295",2013,981,99150
"44296",2013,2183,67270
"44297",2013,-6,63864
"44298",2013,2993,45103
"44299",2013,7436,94960
"44300",2013,119806,2665036
"44301",2013,-9842,279294
"44302",2013,277,54285
"44303",2013,-59950,952649
"44304",2013,2344,105479
"44305",2013,494522,3844556
"44306",2013,-662,24572
"44307",2013,-2422,71831
"44308",2013,1477,41291
"44309",2013,125,45806
"44310",2013,18370,148343
"44311",2013,2113,65833
"44312",2013,11561,507997
"44313",2013,2068,118718
"44314",2013,12774,116833
"44315",2013,806,32841
"44316",2013,980,54000
"44317",2013,9825,51880
"44318",2013,1332,35233
"44319",2013,-140582,364278
"44320",2013,52,20569
"44321",2013,178163,539750
"44322",2013,-3391,163813
"44323",2013,-8179,176859
"44324",2013,1271,60772
"44325",2013,542,22993
"44326",2013,-2602,272934
"44327",2013,4813,1765419
"44328",2013,-1288,27335
"44329",2013,2990,23828
"44330",2013,560,186409
"44331",2013,2176,49394
"44332",2013,1103,32559
"44333",2013,13,70318
"44334",2013,38152,441755
"44335",2013,-928,87530
"44336",2013,101,90051
"44337",2013,381,31473
"44338",2013,247,10106
"44339",2013,138,19447
"44340",2013,-1160,74309
"44341",2013,-3478,30014
"44342",2013,80,184160
"44343",2013,-4417,67873
"44344",2013,-549,17788
"44345",2013,-9132,256931
"44346",2013,945,29712
"44347",2013,4197,177255
"44348",2013,-1769,18804
"44349",2013,-1095,269024
"44350",2013,5421,46183
"44351",2013,-2852,146161
"44352",2013,1488,21113
"44353",2013,282860,1314139
"44354",2013,-13244,153804
"44355",2013,54663,873808
"44356",2013,17352,1196311
"44357",2013,253,151679
"44358",2013,10531,144624
"44359",2013,1303,50608
"44360",2013,246,18192
"44361",2013,71,261500
"44362",2013,2442,86842
"44363",2013,132,20767
"44364",2013,34837,278033
"44365",2013,103544,2380531
"44366",2013,1770,69241
"44367",2013,28743,238887
"44368",2013,1649,26313
"44369",2013,860,186098
"44370",2013,-91,52717
"44371",2013,1079,17538
"44372",2013,5137,30958
"44373",2013,1819,61577
"44374",2013,540,34910
"44375",2013,140,96210
"44376",2013,2405,36866
"44377",2013,136,22427
"44378",2013,23,53973
"44379",2013,-5121,65679
"44380",2013,-432,18985
"44381",2013,87,121879
"44382",2013,10843,81201
"44383",2013,145727,1015269
"44384",2013,-426,128835
"44385",2013,936,70905
"44386",2013,-2781,49655
"44387",2013,-5581,40556
"44388",2013,-16973,185693
"44389",2013,-83560,698248
"44390",2013,21270,89600
"44391",2013,4504,92514
"44392",2013,-11852,142428
"44393",2013,43552,763720
"44394",2013,-34405,160067
"44395",2013,2458,56939
"44396",2013,956,15150
"44397",2013,-25618,653544
"44398",2013,-1311,14615
"44399",2013,-11389,498530
"44400",2013,6169,96261
"44401",2013,7061,319113
"44402",2013,-3210,146054
"44403",2013,356957,1111283
"44404",2013,246428,587065
"44405",2013,257640,808882
"44406",2013,664750,945418
"44407",2013,617046,857838
"44408",2013,30459,333117
"44409",2013,166169,275899
"44410",2013,89436,439521
"44411",2013,1059923,16695390
"44412",2013,51331,542530
"44413",2013,29503,1444128
"44414",2013,-3795,42668
"44415",2013,8597,96181
"44416",2013,-427,63506
"44417",2013,201,43450
"44418",2013,5978,13212
"44419",2013,589352,32353330
"44420",2013,109733,1681108
"44421",2013,-31364,104913
"44422",2013,3437,62133
"44423",2013,5870,332480
"44424",2013,6867,24657
"44425",2013,23507,63954
"44426",2013,9653,161303
"44427",2013,11092,62159
"44428",2013,2383,13323
"44429",2013,191,33377
"44430",2013,13258,78697
"44431",2013,9430,73240
"44432",2013,5272,517306
"44433",2013,9890,5820
"44434",2013,85445,538630
"44435",2013,12560,94600
"44436",2013,7230,28120
"44437",2013,-208107,5263070
"44438",2013,17826,270391
