"","year","net_income","total_assets"
"268",2013,2633,155273
"269",2013,10360,1621727
"270",2013,40212,904580
"271",2013,-17214,540230
"272",2013,3600,258489
"273",2013,12859,559276
"274",2013,1950,153257
"275",2013,15421,512272
"276",2013,3551,98396
"277",2013,-5685,87317
"278",2013,-16065,64687
"279",2013,24971,129849
"280",2013,82985,543170
"281",2013,3805,189518
"282",2013,349,96712
"283",2013,10451,178562
"284",2013,59,38802
"285",2013,17459,82867
"286",2013,486,40807
"287",2013,464,5792
"288",2013,-46657,682007
"289",2013,2689,303073
"290",2013,28010,383521
"291",2013,6795,79776
"292",2013,5156,224972
"293",2013,1719,54573
"294",2013,5769,535531
"295",2013,10086,289131
"296",2013,-11658,172129
"297",2013,-1758,85578
"298",2013,3661,255299
"299",2013,-82397,1169248
"300",2013,260,121179
"301",2013,931,23307
"302",2013,4220,285934
"303",2013,6318,107827
"304",2013,69463,438165
"305",2013,4975,288948
"306",2013,1019770,29346246
"307",2013,681,16211
"308",2013,436430,2648206
"309",2013,3767,21838
"310",2013,23658,1356343
"311",2013,1518,315410
"312",2013,200250,783678
"313",2013,2698,437009
"314",2013,37079,2873868
"315",2013,-7454,991385
"316",2013,3429,326434
"317",2013,-3772,31282
"318",2013,7546,118779
"319",2013,355,139320
"320",2013,-36703,420397
"321",2013,22774,270131
"322",2013,1030,29828
"323",2013,5782,107204
"324",2013,8272,234232
"325",2013,6034,130424
"326",2013,4321,139873
"327",2013,29552,374558
"328",2013,26275,16933004
"329",2013,634,173967
"330",2013,609,146189
"331",2013,553,203850
"332",2013,4668,87967
"333",2013,149846,27492844
"334",2013,22271,256612
"335",2013,7569,41709
"336",2013,352,10218
"337",2013,464,18269
"338",2013,434,114010
"339",2013,3671,1240907
"340",2013,811,30305
"341",2013,930,32922
"342",2013,5863,147313
"343",2013,426,135597
"344",2013,3399,49892
"345",2013,397,5872
"346",2013,8370,109264
"347",2013,-4498,33988
"348",2013,66813,373501
"349",2013,49,17645
"350",2013,5415,128188
"351",2013,-2662,42764
"352",2013,44,32541
"353",2013,216,66973
"354",2013,-2701,58431
"355",2013,-29210,367486
"356",2013,-800,41796
"357",2013,-5498,271804
"358",2013,1451,22751
"359",2013,124,30748
"360",2013,202,51921
"361",2013,1174,32789
"362",2013,50484,564392
"363",2013,6026,190006
"364",2013,5584,124613
"365",2013,227955,3058115
"366",2013,97729,608706
"367",2013,-24189,68945
"368",2013,-249,38632
"369",2013,1866,94442
"370",2013,812,27975
"371",2013,407264,2895911
"372",2013,13310,93537
"373",2013,216,27169
"374",2013,407,96188
"375",2013,2429,30748
"376",2013,580,48540
"377",2013,164,14096
"378",2013,471,183142
"379",2013,319177,1112462
"380",2013,835,108042
"381",2013,33,174850
"382",2013,13142,360518
"383",2013,2714,46236
"384",2013,5594,99927
"385",2013,1544,49531
"386",2013,2204,78387
"387",2013,1631,40680
"388",2013,636,44038
"389",2013,326,89183
"390",2013,20827,418483
"391",2013,2628,106465
"392",2013,806691,22945174
"393",2013,1076,129436
"394",2013,2532,64735
"395",2013,51666,226122
"396",2013,2236,90645
"397",2013,894,64092
"398",2013,-777,36280
"399",2013,761,24027
"400",2013,1299,80349
"401",2013,472390,2079747
"402",2013,1980,154582
"403",2013,82,51100
"404",2013,51,16217
"405",2013,10137,75277
"406",2013,2131,92891
"407",2013,122,21075
"408",2013,675,18181
"409",2013,-423,26939
"410",2013,135,11538
"411",2013,9394,268958
"412",2013,532,25505
"413",2013,377,103376
"414",2013,88680,668195
"415",2013,610,53829
"416",2013,2101,143007
"417",2013,228,41504
"418",2013,176,341162
"419",2013,2286,67886
"420",2013,570,35297
"421",2013,5592,152632
