"","itct_model","slope_model","itct_cases","slope_cases","sigma_cases","itct_cases_bca","slope_cases_bca","sigma_cases_bca","itct_boot_resid","slope_boot_resid","sigma_boot_resid","itct_boot_resid_bca","slope_boot_resid_bca","sigma_boot_resid_bca","itct_wild","slope_wild","sigma_wild","itct_wild_bca","slope_wild_bca","sigma_wild_bca"
"coverage",1,0.916,0.932,0.916,0.868,0.928,0.916,0.866,0.93,0.92,0.87,0.934,0.92,0.87,0.934,0.92,0.866,0.934,0.922,0.87
"too_high",0,0.044,0.038,0.042,0.006,0.038,0.042,0.008,0.04,0.038,0.006,0.034,0.038,0.006,0.036,0.042,0.008,0.032,0.038,0.006
"too_low",0,0.04,0.03,0.042,0.126,0.034,0.042,0.126,0.03,0.042,0.124,0.032,0.042,0.124,0.03,0.038,0.126,0.034,0.04,0.124
