"","itct_model","slope_model","itct_cases","slope_cases","sigma_cases","itct_cases_bca","slope_cases_bca","sigma_cases_bca","itct_boot_resid","slope_boot_resid","sigma_boot_resid","itct_boot_resid_bca","slope_boot_resid_bca","sigma_boot_resid_bca","itct_wild","slope_wild","sigma_wild","itct_wild_bca","slope_wild_bca","sigma_wild_bca"
"coverage",0.832,0.952,0.832,0.95,0.15,0.822,0.952,0.16,0.836,0.948,0.156,0.83,0.952,0.156,0.834,0.946,0.148,0.83,0.95,0.15
"too_high",0,0.048,0,0.05,0.85,0,0.048,0.84,0,0.052,0.844,0,0.048,0.844,0,0.054,0.852,0,0.05,0.85
"too_low",0.168,0,0.168,0,0,0.178,0,0,0.164,0,0,0.17,0,0,0.166,0,0,0.17,0,0
