"","itct_model","slope_model","itct_cases","slope_cases","sigma_cases","itct_cases_bca","slope_cases_bca","sigma_cases_bca","itct_boot_resid","slope_boot_resid","sigma_boot_resid","itct_boot_resid_bca","slope_boot_resid_bca","sigma_boot_resid_bca","itct_wild","slope_wild","sigma_wild","itct_wild_bca","slope_wild_bca","sigma_wild_bca"
"coverage",0.692,0.998,0.252,0.918,0,0.252,0.918,0,0.242,0.92,0,0.24,0.914,0,0.25,0.914,0,0.244,0.92,0
"too_high",0.308,0,0.748,0,1,0.748,0,1,0.758,0,1,0.76,0.002,1,0.75,0,1,0.756,0,1
"too_low",0,0.002,0,0.082,0,0,0.082,0,0,0.08,0,0,0.084,0,0,0.086,0,0,0.08,0
