"","itct_model","slope_model","itct_cases","slope_cases","sigma_cases","itct_cases_bca","slope_cases_bca","sigma_cases_bca","itct_boot_resid","slope_boot_resid","sigma_boot_resid","itct_boot_resid_bca","slope_boot_resid_bca","sigma_boot_resid_bca","itct_wild","slope_wild","sigma_wild","itct_wild_bca","slope_wild_bca","sigma_wild_bca"
"coverage",0.978,0.992,0.922,0.954,0.906,0.922,0.96,0.89,0.928,0.958,0.9,0.928,0.958,0.906,0.924,0.956,0.9,0.922,0.96,0.896
"too_high",0.022,0.002,0.076,0.014,0.094,0.078,0.012,0.11,0.072,0.014,0.1,0.07,0.012,0.094,0.074,0.016,0.1,0.074,0.012,0.104
"too_low",0,0.006,0.002,0.032,0,0,0.028,0,0,0.028,0,0.002,0.03,0,0.002,0.028,0,0.004,0.028,0
