"","itct_model","slope_model","itct_cases","slope_cases","sigma_cases","itct_cases_bca","slope_cases_bca","sigma_cases_bca","itct_boot_resid","slope_boot_resid","sigma_boot_resid","itct_boot_resid_bca","slope_boot_resid_bca","sigma_boot_resid_bca","itct_wild","slope_wild","sigma_wild","itct_wild_bca","slope_wild_bca","sigma_wild_bca"
"coverage",0.958,0.952,0.934,0.94,0.932,0.936,0.936,0.924,0.94,0.938,0.92,0.936,0.938,0.93,0.94,0.944,0.936,0.938,0.938,0.926
"too_high",0.022,0.02,0.032,0.028,0.014,0.028,0.034,0.016,0.026,0.032,0.018,0.028,0.036,0.014,0.022,0.028,0.01,0.026,0.03,0.012
"too_low",0.02,0.028,0.034,0.032,0.054,0.036,0.03,0.06,0.034,0.03,0.062,0.036,0.026,0.056,0.038,0.028,0.054,0.036,0.032,0.062
