"","itct_model","slope_model","itct_cases","slope_cases","sigma_cases","itct_cases_bca","slope_cases_bca","sigma_cases_bca","itct_boot_resid","slope_boot_resid","sigma_boot_resid","itct_boot_resid_bca","slope_boot_resid_bca","sigma_boot_resid_bca","itct_wild","slope_wild","sigma_wild","itct_wild_bca","slope_wild_bca","sigma_wild_bca"
"coverage",0.96,0.958,0.948,0.956,0.92,0.954,0.95,0.924,0.948,0.952,0.924,0.956,0.958,0.93,0.952,0.96,0.922,0.946,0.956,0.924
"too_high",0.01,0.022,0.018,0.022,0.008,0.014,0.024,0.008,0.016,0.022,0.008,0.014,0.024,0.008,0.014,0.02,0.01,0.016,0.022,0.008
"too_low",0.03,0.02,0.034,0.022,0.072,0.032,0.026,0.068,0.036,0.026,0.068,0.03,0.018,0.062,0.034,0.02,0.068,0.038,0.022,0.068
