"","itct_model","slope_model","itct_cases","slope_cases","sigma_cases","itct_cases_bca","slope_cases_bca","sigma_cases_bca","itct_boot_resid","slope_boot_resid","sigma_boot_resid","itct_boot_resid_bca","slope_boot_resid_bca","sigma_boot_resid_bca","itct_wild","slope_wild","sigma_wild","itct_wild_bca","slope_wild_bca","sigma_wild_bca"
"coverage",0.362,0.352,0.718,0.722,0.468,0.716,0.718,0.466,0.724,0.728,0.468,0.724,0.728,0.466,0.724,0.726,0.466,0.72,0.724,0.466
"too_high",0.47,0.172,0.278,0.004,0.002,0.28,0.004,0.002,0.272,0.004,0.002,0.272,0.004,0.002,0.272,0.004,0.002,0.276,0.004,0.002
"too_low",0.168,0.476,0.004,0.274,0.53,0.004,0.278,0.532,0.004,0.268,0.53,0.004,0.268,0.532,0.004,0.27,0.532,0.004,0.272,0.532
