"","itct_model","slope_model","itct_cases","slope_cases","sigma_cases","itct_cases_bca","slope_cases_bca","sigma_cases_bca","itct_boot_resid","slope_boot_resid","sigma_boot_resid","itct_boot_resid_bca","slope_boot_resid_bca","sigma_boot_resid_bca","itct_wild","slope_wild","sigma_wild","itct_wild_bca","slope_wild_bca","sigma_wild_bca"
"coverage",0.946,0.94,0.936,0.922,0.916,0.936,0.924,0.922,0.938,0.93,0.91,0.932,0.926,0.922,0.93,0.922,0.92,0.934,0.922,0.916
"too_high",0.022,0.03,0.024,0.042,0.008,0.022,0.04,0.006,0.022,0.032,0.008,0.024,0.04,0.004,0.028,0.042,0.01,0.024,0.04,0.008
"too_low",0.032,0.03,0.04,0.036,0.076,0.042,0.036,0.072,0.04,0.038,0.082,0.044,0.034,0.074,0.042,0.036,0.07,0.042,0.038,0.076
