"","parameter","method","value","data_type","iterations","metric"
"524","itct","wild","0.75","sim_outlier",240,"too_high"
"525","itct","wild","0","sim_outlier",240,"too_low"
"526","slope","wild","0.914","sim_outlier",240,"coverage"
"527","slope","wild","0","sim_outlier",240,"too_high"
"528","slope","wild","0.086","sim_outlier",240,"too_low"
"529","sigma","wild","0","sim_outlier",240,"coverage"
"530","sigma","wild","1","sim_outlier",240,"too_high"
"531","sigma","wild","0","sim_outlier",240,"too_low"
"532","itct","wild_bca","0.244","sim_outlier",240,"coverage"
"533","itct","wild_bca","0.756","sim_outlier",240,"too_high"
"534","itct","wild_bca","0","sim_outlier",240,"too_low"
"535","slope","wild_bca","0.92","sim_outlier",240,"coverage"
"536","slope","wild_bca","0","sim_outlier",240,"too_high"
"537","slope","wild_bca","0.08","sim_outlier",240,"too_low"
"538","sigma","wild_bca","0","sim_outlier",240,"coverage"
"539","sigma","wild_bca","1","sim_outlier",240,"too_high"
"540","sigma","wild_bca","0","sim_outlier",240,"too_low"
