"","parameter","method","value","data_type","iterations","metric"
"1","itct","model","0.386","real_hetero",60,"coverage"
"2","itct","model","0.478","real_hetero",60,"too_high"
"3","itct","model","0.136","real_hetero",60,"too_low"
"4","slope","model","0.38","real_hetero",60,"coverage"
"5","slope","model","0.138","real_hetero",60,"too_high"
"6","slope","model","0.482","real_hetero",60,"too_low"
"7","itct","cases","0.662","real_hetero",60,"coverage"
"8","itct","cases","0.338","real_hetero",60,"too_high"
"9","itct","cases","0","real_hetero",60,"too_low"
"10","slope","cases","0.666","real_hetero",60,"coverage"
"11","slope","cases","0","real_hetero",60,"too_high"
"12","slope","cases","0.334","real_hetero",60,"too_low"
"13","sigma","cases","0.342","real_hetero",60,"coverage"
"14","sigma","cases","0","real_hetero",60,"too_high"
"15","sigma","cases","0.658","real_hetero",60,"too_low"
"16","itct","cases_bca","0.664","real_hetero",60,"coverage"
"17","itct","cases_bca","0.336","real_hetero",60,"too_high"
"18","itct","cases_bca","0","real_hetero",60,"too_low"
"19","slope","cases_bca","0.668","real_hetero",60,"coverage"
"20","slope","cases_bca","0","real_hetero",60,"too_high"
"21","slope","cases_bca","0.332","real_hetero",60,"too_low"
"22","sigma","cases_bca","0.34","real_hetero",60,"coverage"
"23","sigma","cases_bca","0","real_hetero",60,"too_high"
"24","sigma","cases_bca","0.66","real_hetero",60,"too_low"
"25","itct","boot_resid","0.66","real_hetero",60,"coverage"
"26","itct","boot_resid","0.34","real_hetero",60,"too_high"
"27","itct","boot_resid","0","real_hetero",60,"too_low"
"28","slope","boot_resid","0.664","real_hetero",60,"coverage"
"29","slope","boot_resid","0","real_hetero",60,"too_high"
"30","slope","boot_resid","0.336","real_hetero",60,"too_low"
"31","sigma","boot_resid","0.346","real_hetero",60,"coverage"
"32","sigma","boot_resid","0","real_hetero",60,"too_high"
"33","sigma","boot_resid","0.654","real_hetero",60,"too_low"
"34","itct","boot_resid_bca","0.662","real_hetero",60,"coverage"
"35","itct","boot_resid_bca","0.338","real_hetero",60,"too_high"
"36","itct","boot_resid_bca","0","real_hetero",60,"too_low"
"37","slope","boot_resid_bca","0.67","real_hetero",60,"coverage"
"38","slope","boot_resid_bca","0","real_hetero",60,"too_high"
"39","slope","boot_resid_bca","0.33","real_hetero",60,"too_low"
"40","sigma","boot_resid_bca","0.346","real_hetero",60,"coverage"
"41","sigma","boot_resid_bca","0","real_hetero",60,"too_high"
"42","sigma","boot_resid_bca","0.654","real_hetero",60,"too_low"
"43","itct","wild","0.666","real_hetero",60,"coverage"
"44","itct","wild","0.334","real_hetero",60,"too_high"
"45","itct","wild","0","real_hetero",60,"too_low"
"46","slope","wild","0.664","real_hetero",60,"coverage"
"47","slope","wild","0","real_hetero",60,"too_high"
"48","slope","wild","0.336","real_hetero",60,"too_low"
"49","sigma","wild","0.342","real_hetero",60,"coverage"
"50","sigma","wild","0","real_hetero",60,"too_high"
"51","sigma","wild","0.658","real_hetero",60,"too_low"
"52","itct","wild_bca","0.662","real_hetero",60,"coverage"
"53","itct","wild_bca","0.338","real_hetero",60,"too_high"
"54","itct","wild_bca","0","real_hetero",60,"too_low"
"55","slope","wild_bca","0.666","real_hetero",60,"coverage"
"56","slope","wild_bca","0","real_hetero",60,"too_high"
"57","slope","wild_bca","0.334","real_hetero",60,"too_low"
"58","sigma","wild_bca","0.346","real_hetero",60,"coverage"
"59","sigma","wild_bca","0","real_hetero",60,"too_high"
"60","sigma","wild_bca","0.654","real_hetero",60,"too_low"
"61","itct","model","0.362","real_hetero",120,"coverage"
"62","itct","model","0.47","real_hetero",120,"too_high"
"63","itct","model","0.168","real_hetero",120,"too_low"
"64","slope","model","0.352","real_hetero",120,"coverage"
"65","slope","model","0.172","real_hetero",120,"too_high"
"66","slope","model","0.476","real_hetero",120,"too_low"
"67","itct","cases","0.718","real_hetero",120,"coverage"
"68","itct","cases","0.278","real_hetero",120,"too_high"
"69","itct","cases","0.004","real_hetero",120,"too_low"
"70","slope","cases","0.722","real_hetero",120,"coverage"
"71","slope","cases","0.004","real_hetero",120,"too_high"
"72","slope","cases","0.274","real_hetero",120,"too_low"
"73","sigma","cases","0.468","real_hetero",120,"coverage"
"74","sigma","cases","0.002","real_hetero",120,"too_high"
"75","sigma","cases","0.53","real_hetero",120,"too_low"
"76","itct","cases_bca","0.716","real_hetero",120,"coverage"
"77","itct","cases_bca","0.28","real_hetero",120,"too_high"
"78","itct","cases_bca","0.004","real_hetero",120,"too_low"
"79","slope","cases_bca","0.718","real_hetero",120,"coverage"
"80","slope","cases_bca","0.004","real_hetero",120,"too_high"
"81","slope","cases_bca","0.278","real_hetero",120,"too_low"
"82","sigma","cases_bca","0.466","real_hetero",120,"coverage"
"83","sigma","cases_bca","0.002","real_hetero",120,"too_high"
"84","sigma","cases_bca","0.532","real_hetero",120,"too_low"
"85","itct","boot_resid","0.724","real_hetero",120,"coverage"
"86","itct","boot_resid","0.272","real_hetero",120,"too_high"
"87","itct","boot_resid","0.004","real_hetero",120,"too_low"
"88","slope","boot_resid","0.728","real_hetero",120,"coverage"
"89","slope","boot_resid","0.004","real_hetero",120,"too_high"
"90","slope","boot_resid","0.268","real_hetero",120,"too_low"
"91","sigma","boot_resid","0.468","real_hetero",120,"coverage"
"92","sigma","boot_resid","0.002","real_hetero",120,"too_high"
"93","sigma","boot_resid","0.53","real_hetero",120,"too_low"
"94","itct","boot_resid_bca","0.724","real_hetero",120,"coverage"
"95","itct","boot_resid_bca","0.272","real_hetero",120,"too_high"
"96","itct","boot_resid_bca","0.004","real_hetero",120,"too_low"
"97","slope","boot_resid_bca","0.728","real_hetero",120,"coverage"
"98","slope","boot_resid_bca","0.004","real_hetero",120,"too_high"
"99","slope","boot_resid_bca","0.268","real_hetero",120,"too_low"
"100","sigma","boot_resid_bca","0.466","real_hetero",120,"coverage"
"101","sigma","boot_resid_bca","0.002","real_hetero",120,"too_high"
"102","sigma","boot_resid_bca","0.532","real_hetero",120,"too_low"
"103","itct","wild","0.724","real_hetero",120,"coverage"
"104","itct","wild","0.272","real_hetero",120,"too_high"
"105","itct","wild","0.004","real_hetero",120,"too_low"
"106","slope","wild","0.726","real_hetero",120,"coverage"
"107","slope","wild","0.004","real_hetero",120,"too_high"
"108","slope","wild","0.27","real_hetero",120,"too_low"
"109","sigma","wild","0.466","real_hetero",120,"coverage"
"110","sigma","wild","0.002","real_hetero",120,"too_high"
"111","sigma","wild","0.532","real_hetero",120,"too_low"
"112","itct","wild_bca","0.72","real_hetero",120,"coverage"
"113","itct","wild_bca","0.276","real_hetero",120,"too_high"
"114","itct","wild_bca","0.004","real_hetero",120,"too_low"
"115","slope","wild_bca","0.724","real_hetero",120,"coverage"
"116","slope","wild_bca","0.004","real_hetero",120,"too_high"
"117","slope","wild_bca","0.272","real_hetero",120,"too_low"
"118","sigma","wild_bca","0.466","real_hetero",120,"coverage"
"119","sigma","wild_bca","0.002","real_hetero",120,"too_high"
"120","sigma","wild_bca","0.532","real_hetero",120,"too_low"
"121","itct","model","0.392","real_hetero",240,"coverage"
"122","itct","model","0.4","real_hetero",240,"too_high"
"123","itct","model","0.208","real_hetero",240,"too_low"
"124","slope","model","0.388","real_hetero",240,"coverage"
"125","slope","model","0.208","real_hetero",240,"too_high"
"126","slope","model","0.404","real_hetero",240,"too_low"
"127","itct","cases","0.786","real_hetero",240,"coverage"
"128","itct","cases","0.214","real_hetero",240,"too_high"
"129","itct","cases","0","real_hetero",240,"too_low"
"130","slope","cases","0.788","real_hetero",240,"coverage"
"131","slope","cases","0","real_hetero",240,"too_high"
"132","slope","cases","0.212","real_hetero",240,"too_low"
"133","sigma","cases","0.514","real_hetero",240,"coverage"
"134","sigma","cases","0.002","real_hetero",240,"too_high"
"135","sigma","cases","0.484","real_hetero",240,"too_low"
"136","itct","cases_bca","0.79","real_hetero",240,"coverage"
"137","itct","cases_bca","0.21","real_hetero",240,"too_high"
"138","itct","cases_bca","0","real_hetero",240,"too_low"
"139","slope","cases_bca","0.792","real_hetero",240,"coverage"
"140","slope","cases_bca","0","real_hetero",240,"too_high"
"141","slope","cases_bca","0.208","real_hetero",240,"too_low"
"142","sigma","cases_bca","0.516","real_hetero",240,"coverage"
"143","sigma","cases_bca","0","real_hetero",240,"too_high"
"144","sigma","cases_bca","0.484","real_hetero",240,"too_low"
"145","itct","boot_resid","0.786","real_hetero",240,"coverage"
"146","itct","boot_resid","0.212","real_hetero",240,"too_high"
"147","itct","boot_resid","0.002","real_hetero",240,"too_low"
"148","slope","boot_resid","0.788","real_hetero",240,"coverage"
"149","slope","boot_resid","0.002","real_hetero",240,"too_high"
"150","slope","boot_resid","0.21","real_hetero",240,"too_low"
"151","sigma","boot_resid","0.51","real_hetero",240,"coverage"
"152","sigma","boot_resid","0","real_hetero",240,"too_high"
"153","sigma","boot_resid","0.49","real_hetero",240,"too_low"
"154","itct","boot_resid_bca","0.79","real_hetero",240,"coverage"
"155","itct","boot_resid_bca","0.21","real_hetero",240,"too_high"
"156","itct","boot_resid_bca","0","real_hetero",240,"too_low"
"157","slope","boot_resid_bca","0.79","real_hetero",240,"coverage"
"158","slope","boot_resid_bca","0","real_hetero",240,"too_high"
"159","slope","boot_resid_bca","0.21","real_hetero",240,"too_low"
"160","sigma","boot_resid_bca","0.51","real_hetero",240,"coverage"
"161","sigma","boot_resid_bca","0.002","real_hetero",240,"too_high"
